"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days PM2.5","Days PM10"
"Alabama","Baldwin",2022,19,19,0,0,0,0,0,48,45,24,0,0,0,19,0
"Alabama","Clay",2022,19,16,3,0,0,0,0,62,52,22,0,0,0,19,0
"Alabama","DeKalb",2022,59,55,4,0,0,0,0,71,47,34,0,0,51,8,0
"Alabama","Etowah",2022,56,48,8,0,0,0,0,73,55,32,0,0,0,56,0
"Alabama","Mobile",2022,58,50,8,0,0,0,0,70,53,30,0,0,0,58,0
"Alabama","Montgomery",2022,59,48,11,0,0,0,0,95,58,33,0,0,0,59,0
"Alabama","Morgan",2022,59,50,9,0,0,0,0,74,54,35,0,0,0,59,0
"Alabama","Russell",2022,57,43,14,0,0,0,0,91,64,42,0,0,0,57,0
"Alabama","Sumter",2022,58,57,1,0,0,0,0,51,38,20,0,0,0,58,0
"Alabama","Tuscaloosa",2022,17,14,3,0,0,0,0,62,55,25,0,0,0,17,0
"Alaska","Denali ",2022,90,90,0,0,0,0,0,45,44,39,0,0,90,0,0
"Arizona","Apache",2022,90,90,0,0,0,0,0,26,16,10,0,0,0,2,88
"Arizona","Cochise",2022,90,81,9,0,0,0,0,88,54,44,0,0,84,0,6
"Arizona","Coconino",2022,90,88,2,0,0,0,0,54,48,44,0,0,90,0,0
"Arizona","Gila",2022,90,82,5,2,1,0,0,177,50,42,0,0,83,0,7
"Arizona","La Paz",2022,90,84,6,0,0,0,0,68,47,42,0,0,83,2,5
"Arizona","Maricopa",2022,120,71,19,20,10,0,0,187,150,48,0,8,77,4,31
"Arizona","Mohave",2022,90,83,7,0,0,0,0,64,39,12,0,0,0,0,90
"Arizona","Navajo",2022,90,90,0,0,0,0,0,50,45,41,0,0,90,0,0
"Arizona","Pima",2022,90,78,10,2,0,0,0,122,53,34,0,0,0,0,90
"Arizona","Pinal",2022,90,74,16,0,0,0,0,74,58,44,0,0,90,0,0
"Arizona","Santa Cruz",2022,90,52,38,0,0,0,0,93,75,47,0,0,0,73,17
"Arizona","Yavapai",2022,90,90,0,0,0,0,0,47,43,39,0,0,90,0,0
"Arizona","Yuma",2022,90,59,28,3,0,0,0,129,60,42,0,0,44,14,32
"Arkansas","Clark",2022,57,56,1,0,0,0,0,51,42,33,0,0,57,0,0
"Arkansas","Crittenden",2022,89,86,3,0,0,0,0,90,44,33,0,0,89,0,0
"Arkansas","Newton",2022,89,83,5,1,0,0,0,105,47,38,0,0,89,0,0
"Arkansas","Polk",2022,90,84,4,2,0,0,0,105,48,40,0,0,90,0,0
"Arkansas","Pulaski",2022,91,79,11,1,0,0,0,115,55,38,1,0,62,28,0
"Arkansas","Washington",2022,90,83,6,1,0,0,0,108,48,38,0,0,90,0,0
"California","Alameda",2022,91,56,35,0,0,0,0,85,65,44,1,2,33,55,0
"California","Amador",2022,31,31,0,0,0,0,0,31,29,23,0,0,31,0,0
"California","Butte",2022,37,19,18,0,0,0,0,78,71,43,1,0,8,28,0
"California","Calaveras",2022,31,17,14,0,0,0,0,66,59,46,0,0,7,23,1
"California","Colusa",2022,50,32,18,0,0,0,0,79,60,47,0,0,1,49,0
"California","Contra Costa",2022,91,70,21,0,0,0,0,74,56,41,1,0,41,49,0
"California","El Dorado",2022,31,31,0,0,0,0,0,44,40,35,0,0,29,0,2
"California","Fresno",2022,120,55,56,9,0,0,0,145,91,53,0,0,60,59,1
"California","Glenn",2022,31,29,2,0,0,0,0,57,41,31,0,0,18,13,0
"California","Imperial",2022,149,104,36,3,1,3,2,733,74,37,0,0,0,50,99
"California","Inyo",2022,89,86,2,1,0,0,0,105,47,40,0,0,80,9,0
"California","Kern",2022,90,28,44,16,2,0,0,152,127,64,0,0,0,90,0
"California","Kings",2022,120,92,27,1,0,0,0,107,61,44,0,0,70,0,50
"California","Marin",2022,91,82,9,0,0,0,0,69,50,34,1,2,58,30,0
"California","Mariposa",2022,90,88,2,0,0,0,0,58,48,44,0,0,90,0,0
"California","Merced",2022,85,37,46,2,0,0,0,115,85,54,0,0,0,78,7
"California","Nevada",2022,59,48,11,0,0,0,0,92,58,45,0,0,41,18,0
"California","Placer",2022,89,54,35,0,0,0,0,74,66,46,0,0,54,35,0
"California","Plumas",2022,59,3,40,14,2,0,0,157,125,82,0,0,0,59,0
"California","Riverside",2022,151,84,51,6,3,2,5,644,106,46,0,0,65,15,71
"California","Sacramento",2022,57,17,35,5,0,0,0,118,96,66,0,1,0,56,0
"California","San Benito",2022,90,90,0,0,0,0,0,50,46,39,0,0,90,0,0
"California","San Bernardino",2022,88,76,12,0,0,0,0,90,58,43,0,0,88,0,0
"California","San Diego",2022,119,109,10,0,0,0,0,64,49,19,0,0,0,119,0
"California","San Francisco",2022,91,74,17,0,0,0,0,76,56,36,1,11,37,42,0
"California","San Joaquin",2022,32,7,25,0,0,0,0,100,91,75,1,0,0,31,0
"California","San Mateo",2022,91,67,24,0,0,0,0,75,60,38,1,2,47,41,0
"California","Santa Barbara",2022,32,31,1,0,0,0,0,53,43,38,1,0,30,1,0
"California","Santa Clara",2022,91,54,37,0,0,0,0,83,68,44,1,1,37,52,0
"California","Shasta",2022,89,88,1,0,0,0,0,51,48,44,0,0,89,0,0
"California","Solano",2022,91,63,28,0,0,0,0,85,66,44,1,0,49,41,0
"California","Sonoma",2022,90,79,11,0,0,0,0,61,54,39,0,1,48,41,0
"California","Stanislaus",2022,37,4,29,4,0,0,0,111,103,81,1,0,0,36,0
"California","Sutter",2022,31,8,22,1,0,0,0,102,83,69,0,0,0,31,0
"California","Tehama",2022,13,13,0,0,0,0,0,19,15,11,0,0,0,0,13
"California","Tulare",2022,90,80,10,0,0,0,0,70,54,39,0,0,77,13,0
"California","Tuolumne",2022,30,30,0,0,0,0,0,36,34,27,0,0,30,0,0
"California","Ventura",2022,90,78,12,0,0,0,0,73,51,43,0,1,81,8,0
"California","Yolo",2022,90,77,13,0,0,0,0,86,53,36,0,0,66,24,0
"Colorado","Adams",2022,121,86,35,0,0,0,0,93,61,46,1,38,58,10,14
"Colorado","Arapahoe",2022,120,108,12,0,0,0,0,87,51,44,0,0,117,3,0
"Colorado","Archuleta",2022,90,85,5,0,0,0,0,62,47,42,0,0,80,0,10
"Colorado","Boulder",2022,120,95,25,0,0,0,0,90,63,44,0,0,94,25,1
"Colorado","Clear Creek",2022,115,92,23,0,0,0,0,87,58,47,0,0,115,0,0
"Colorado","Denver",2022,121,82,39,0,0,0,0,80,61,47,1,61,41,18,0
"Colorado","Douglas",2022,119,105,14,0,0,0,0,87,53,43,0,0,108,11,0
"Colorado","El Paso",2022,121,107,14,0,0,0,0,100,51,44,1,0,117,3,0
"Colorado","Fremont",2022,24,24,0,0,0,0,0,19,15,8,0,0,0,0,24
"Colorado","Gilpin",2022,120,105,15,0,0,0,0,77,51,45,0,0,120,0,0
"Colorado","Gunnison",2022,59,54,5,0,0,0,0,64,49,45,0,0,59,0,0
"Colorado","Jefferson",2022,120,94,26,0,0,0,0,97,64,46,0,0,120,0,0
"Colorado","La Plata",2022,121,108,13,0,0,0,0,100,51,45,1,0,118,2,0
"Colorado","Larimer",2022,121,93,28,0,0,0,0,87,64,48,1,0,111,9,0
"Colorado","Mesa",2022,72,63,8,1,0,0,0,108,52,21,0,0,0,61,11
"Colorado","Montezuma",2022,90,90,0,0,0,0,0,50,46,42,0,0,90,0,0
"Colorado","Pitkin",2022,18,18,0,0,0,0,0,17,15,6,0,0,0,0,18
"Colorado","Prowers",2022,69,67,2,0,0,0,0,59,24,12,0,0,0,0,69
"Colorado","Pueblo",2022,77,76,1,0,0,0,0,59,25,14,0,0,0,23,54
"Colorado","Rio Blanco",2022,59,57,2,0,0,0,0,74,44,39,0,0,51,8,0
"Colorado","Routt",2022,69,69,0,0,0,0,0,37,28,16,0,0,0,0,69
"Colorado","San Miguel",2022,24,24,0,0,0,0,0,48,26,13,0,0,0,0,24
"Colorado","Weld",2022,121,87,34,0,0,0,0,84,61,44,1,6,82,32,0
"Connecticut","Windham",2022,56,56,0,0,0,0,0,44,40,34,0,0,56,0,0
"Country Of Mexico","BAJA CALIFORNIA NORTE",2022,120,4,70,29,17,0,0,167,152,88,0,0,0,120,0
"Country Of Mexico","SONORA",2022,73,71,2,0,0,0,0,54,47,39,0,0,73,0,0
"Florida","Alachua",2022,90,82,8,0,0,0,0,84,50,39,0,0,61,29,0
"Florida","Baker",2022,90,76,14,0,0,0,0,87,54,39,0,0,61,29,0
"Florida","Bay",2022,90,76,14,0,0,0,0,99,58,41,0,0,58,32,0
"Florida","Citrus",2022,90,82,8,0,0,0,0,61,50,34,0,0,0,90,0
"Florida","Collier",2022,90,84,6,0,0,0,0,54,49,38,0,0,63,27,0
"Florida","Columbia",2022,90,68,22,0,0,0,0,90,64,41,0,0,51,39,0
"Florida","Escambia",2022,90,61,29,0,0,0,0,93,64,45,0,0,40,50,0
"Florida","Hamilton",2022,26,24,2,0,0,0,0,55,50,32,0,0,0,26,0
"Florida","Highlands",2022,88,81,7,0,0,0,0,74,49,39,0,0,88,0,0
"Florida","Holmes",2022,90,68,22,0,0,0,0,90,56,41,0,0,47,43,0
"Florida","Indian River",2022,58,57,1,0,0,0,0,51,45,41,0,0,58,0,0
"Florida","Lee",2022,90,77,13,0,0,0,0,80,54,41,0,0,65,25,0
"Florida","Liberty",2022,59,59,0,0,0,0,0,50,45,35,0,0,59,0,0
"Florida","Marion",2022,90,78,12,0,0,0,0,93,54,41,0,0,56,34,0
"Florida","Okaloosa",2022,90,85,5,0,0,0,0,84,49,37,0,0,90,0,0
"Florida","Orange",2022,91,80,11,0,0,0,0,97,51,41,1,0,72,18,0
"Florida","Pasco",2022,90,81,9,0,0,0,0,87,51,40,0,0,90,0,0
"Florida","Polk",2022,90,78,12,0,0,0,0,87,56,40,0,0,54,36,0
"Florida","Putnam",2022,90,90,0,0,0,0,0,39,23,16,0,0,0,0,90
"Florida","Santa Rosa",2022,90,70,20,0,0,0,0,93,58,42,0,0,58,32,0
"Georgia","Bibb",2022,90,70,20,0,0,0,0,89,61,39,0,0,19,71,0
"Georgia","Chatham",2022,90,61,29,0,0,0,0,97,67,43,0,0,17,73,0
"Georgia","Chattooga",2022,31,28,3,0,0,0,0,77,49,40,0,0,31,0,0
"Georgia","Clarke",2022,90,64,26,0,0,0,0,87,65,45,0,0,16,74,0
"Georgia","Clayton",2022,20,19,1,0,0,0,0,69,47,32,0,0,0,20,0
"Georgia","Cobb",2022,50,47,3,0,0,0,0,70,50,35,0,0,31,19,0
"Georgia","Coffee",2022,20,17,3,0,0,0,0,63,53,31,0,0,0,20,0
"Georgia","Columbia",2022,31,29,2,0,0,0,0,61,45,40,0,0,31,0,0
"Georgia","Dawson",2022,31,29,2,0,0,0,0,67,50,43,0,0,31,0,0
"Georgia","DeKalb",2022,121,89,32,0,0,0,0,72,60,37,31,15,25,50,0
"Georgia","Dougherty",2022,88,46,37,4,1,0,0,151,84,48,0,0,0,88,0
"Georgia","Douglas",2022,31,27,4,0,0,0,0,80,51,43,0,0,31,0,0
"Georgia","Floyd",2022,90,83,7,0,0,0,0,81,50,24,0,0,0,90,0
"Georgia","Fulton",2022,121,95,26,0,0,0,0,69,56,38,31,7,16,67,0
"Georgia","Glynn",2022,90,66,23,1,0,0,0,106,65,40,0,0,12,78,0
"Georgia","Gwinnett",2022,90,62,28,0,0,0,0,82,60,40,0,0,0,90,0
"Georgia","Hall",2022,90,68,22,0,0,0,0,76,58,37,0,0,0,90,0
"Georgia","Henry",2022,77,67,10,0,0,0,0,75,54,33,0,0,28,49,0
"Georgia","Houston",2022,90,66,23,1,0,0,0,102,69,37,0,0,0,90,0
"Georgia","Lowndes",2022,79,51,28,0,0,0,0,100,70,38,0,0,0,79,0
"Georgia","Murray",2022,28,22,6,0,0,0,0,97,71,44,0,0,28,0,0
"Georgia","Muscogee",2022,90,64,25,1,0,0,0,106,73,43,0,0,18,72,0
"Georgia","Pike",2022,46,44,2,0,0,0,0,64,43,36,0,0,46,0,0
"Georgia","Richmond",2022,90,59,31,0,0,0,0,99,63,44,0,0,12,78,0
"Georgia","Rockdale",2022,61,52,9,0,0,0,0,71,58,42,0,0,61,0,0
"Georgia","Sumter",2022,61,52,9,0,0,0,0,93,58,43,0,0,61,0,0
"Georgia","Walker",2022,82,46,36,0,0,0,0,82,68,45,0,0,0,82,0
"Georgia","Washington",2022,90,61,26,3,0,0,0,112,73,40,0,0,0,90,0
"Hawaii","Hawaii",2022,85,85,0,0,0,0,0,38,28,9,0,0,0,85,0
"Idaho","Bannock",2022,61,60,1,0,0,0,0,68,24,12,0,0,0,0,61
"Idaho","Butte",2022,90,90,0,0,0,0,0,47,45,42,0,0,90,0,0
"Idaho","Idaho",2022,84,73,11,0,0,0,0,75,57,34,0,0,23,61,0
"Idaho","Nez Perce",2022,87,87,0,0,0,0,0,41,25,15,0,0,0,87,0
"Illinois","Adams",2022,31,31,0,0,0,0,0,49,44,39,0,0,31,0,0
"Illinois","Champaign",2022,90,78,12,0,0,0,0,66,52,36,0,0,47,43,0
"Illinois","Cook",2022,96,61,35,0,0,0,0,94,64,46,1,11,19,59,6
"Illinois","DuPage",2022,90,70,20,0,0,0,0,84,61,38,0,0,19,71,0
"Illinois","Effingham",2022,31,31,0,0,0,0,0,47,44,37,0,0,31,0,0
"Illinois","Hamilton",2022,90,80,10,0,0,0,0,79,52,37,0,0,21,69,0
"Illinois","Jersey",2022,90,77,13,0,0,0,0,68,54,38,0,0,26,64,0
"Illinois","Jo Daviess",2022,45,45,0,0,0,0,0,43,39,33,0,0,45,0,0
"Illinois","Kane",2022,55,45,10,0,0,0,0,96,59,38,0,0,25,30,0
"Illinois","Lake",2022,29,29,0,0,0,0,0,46,44,39,0,0,29,0,0
"Illinois","Macon",2022,90,71,19,0,0,0,0,72,57,40,0,0,18,72,0
"Illinois","Macoupin",2022,90,90,0,0,0,0,0,47,41,7,0,59,31,0,0
"Illinois","Madison",2022,94,68,26,0,0,0,0,80,58,43,0,0,37,53,4
"Illinois","McHenry",2022,90,65,25,0,0,0,0,86,60,38,0,0,21,69,0
"Illinois","McLean",2022,90,68,22,0,0,0,0,76,58,38,0,0,20,70,0
"Illinois","Peoria",2022,90,63,27,0,0,0,0,83,64,40,0,0,18,72,0
"Illinois","Randolph",2022,90,82,8,0,0,0,0,62,49,34,0,0,24,66,0
"Illinois","Rock Island",2022,85,66,19,0,0,0,0,74,58,37,0,0,15,70,0
"Illinois","Saint Clair",2022,90,73,17,0,0,0,0,86,58,38,0,8,30,52,0
"Illinois","Sangamon",2022,87,78,9,0,0,0,0,63,52,34,0,0,21,66,0
"Illinois","Will",2022,90,66,24,0,0,0,0,92,60,40,0,0,21,69,0
"Illinois","Winnebago",2022,90,72,18,0,0,0,0,85,60,37,0,0,21,69,0
"Indiana","Clark",2022,33,24,9,0,0,0,0,82,56,37,0,0,0,31,2
"Indiana","Delaware",2022,25,20,5,0,0,0,0,68,56,33,0,0,0,25,0
"Indiana","Dubois",2022,28,25,3,0,0,0,0,86,53,34,0,0,0,28,0
"Indiana","Greene",2022,28,26,2,0,0,0,0,78,49,29,0,0,0,28,0
"Indiana","Hamilton",2022,27,20,7,0,0,0,0,73,60,39,0,0,0,27,0
"Indiana","Henry",2022,24,21,3,0,0,0,0,69,53,30,0,0,0,24,0
"Indiana","Knox",2022,59,59,0,0,0,0,0,45,41,31,0,0,59,0,0
"Indiana","LaPorte",2022,27,22,5,0,0,0,0,60,56,33,0,0,0,27,0
"Indiana","Lake",2022,33,25,8,0,0,0,0,75,58,40,0,0,0,32,1
"Indiana","Marion",2022,34,18,16,0,0,0,0,78,63,46,0,0,0,33,1
"Indiana","Monroe",2022,26,22,4,0,0,0,0,81,52,32,0,0,0,26,0
"Indiana","Spencer",2022,28,24,4,0,0,0,0,77,52,35,0,0,0,28,0
"Indiana","St. Joseph",2022,30,24,6,0,0,0,0,69,56,37,0,0,0,30,0
"Indiana","Vanderburgh",2022,28,26,2,0,0,0,0,93,50,33,0,0,0,28,0
"Indiana","Wabash",2022,59,59,0,0,0,0,0,43,39,31,0,0,59,0,0
"Indiana","Whitley",2022,26,24,2,0,0,0,0,60,48,27,0,0,0,26,0
"Iowa","Black Hawk",2022,120,95,25,0,0,0,0,69,55,34,0,0,0,120,0
"Iowa","Bremer",2022,61,61,0,0,0,0,0,50,44,36,0,0,61,0,0
"Iowa","Cerro Gordo",2022,36,36,0,0,0,0,0,42,23,12,0,0,0,0,36
"Iowa","Clinton",2022,119,76,42,1,0,0,0,107,65,40,0,0,32,87,0
"Iowa","Harrison",2022,60,58,2,0,0,0,0,67,45,38,0,0,60,0,0
"Iowa","Johnson",2022,120,101,19,0,0,0,0,71,55,33,0,0,0,120,0
"Iowa","Lee",2022,26,23,3,0,0,0,0,72,57,32,0,0,0,26,0
"Iowa","Linn",2022,120,99,21,0,0,0,0,75,54,40,0,0,46,74,0
"Iowa","Montgomery",2022,118,111,7,0,0,0,0,64,48,33,0,0,50,68,0
"Iowa","Muscatine",2022,120,102,18,0,0,0,0,64,53,30,0,0,0,119,1
"Iowa","Palo Alto",2022,120,113,7,0,0,0,0,57,47,35,0,0,51,69,0
"Iowa","Polk",2022,151,136,15,0,0,0,0,68,50,34,0,11,50,89,1
"Iowa","Pottawattamie",2022,39,36,3,0,0,0,0,55,50,25,0,0,0,36,3
"Iowa","Scott",2022,121,94,27,0,0,0,0,76,61,40,1,0,59,47,14
"Iowa","Van Buren",2022,120,112,7,1,0,0,0,102,50,35,0,1,51,68,0
"Iowa","Woodbury",2022,40,40,0,0,0,0,0,50,37,23,0,0,0,40,0
"Kentucky","Boyd",2022,10,10,0,0,0,0,0,25,25,13,0,0,0,0,10
"Kentucky","Campbell",2022,20,18,2,0,0,0,0,68,61,33,0,0,0,20,0
"Kentucky","Carter",2022,10,10,0,0,0,0,0,12,12,7,0,0,0,0,10
"Kentucky","Edmonson",2022,91,90,1,0,0,0,0,51,46,34,3,0,88,0,0
"Kentucky","Fayette",2022,10,10,0,0,0,0,0,16,16,13,0,0,0,0,10
"Kentucky","Hardin",2022,10,10,0,0,0,0,0,43,43,30,0,0,0,10,0
"Kentucky","Morgan",2022,59,58,1,0,0,0,0,64,43,33,0,0,59,0,0
"Kentucky","Trigg",2022,56,55,1,0,0,0,0,58,42,33,0,0,56,0,0
"Kentucky","Washington",2022,59,58,1,0,0,0,0,51,44,32,0,0,59,0,0
"Louisiana","Ascension",2022,119,106,13,0,0,0,0,90,51,39,0,2,117,0,0
"Louisiana","Bossier",2022,118,95,23,0,0,0,0,90,57,41,0,0,60,58,0
"Louisiana","Caddo",2022,120,112,8,0,0,0,0,97,47,38,0,0,120,0,0
